id;site;xx;template;engine
2023;:za:PPB:Credit:CACS - Computer Assisted Collections System:UTR06501;15;_-new-template_-discovery-scan-with-credentials-copy;
2024;:za:PPB:Africa Regions:Online Banking (Finacle E-Banking / OCH):UTR04830;15;_-new-template_-discovery-scan-with-credentials-copy;
2025;:za:PPB:IT Security:Ping Federate:UTR05966;15;_-new-template_-discovery-scan-with-credentials-copy;
2026;:za:PPB:Lending Products:Base24 EPS:UTR05301;15;_-new-template_-discovery-scan-with-credentials-copy;
2027;:za:PPB:Infrastructure Production Services:IBM MQ South Africa:UTR01192;15;_-new-template_-discovery-scan-with-credentials-copy;
2028;:za:PPB:Client Coverage:Omni Channel:UTR07009;15;_-new-template_-discovery-scan-with-credentials-copy;
2029;:za:PPB:Africa Regions:ESB Africa:UTR04796;15;_-new-template_-discovery-scan-with-credentials-copy;
2030;:za:PPB:Core Banking:TBMS-F:UTR05559;15;_-new-template_-discovery-scan-with-credentials-copy;
2031;:za:PPB:Credit:CDE - Customer Decision Engine:UTR06602;15;_-new-template_-discovery-scan-with-credentials-copy;
2032;:za:PPB:Infrastructure Production Services:MQ - Messaging Queue:UTR01192;15;_-new-template_-discovery-scan-with-credentials-copy;
2033;:za:PPB:Infrastructure Production Services:Workfusion (Robotics RPA):UTR01595;15;_-new-template_-discovery-scan-with-credentials-copy;
2034;:za:PPB:Infrastructure Production Services:TWS - Tivoli Workload Scheduler:UTR05808;15;_-new-template_-discovery-scan-with-credentials-copy;
2035;:za:PPB:Africa Regions:Blueflow:UTR06692;15;_-new-template_-discovery-scan-with-credentials-copy;
2036;:za:PPB:Client Coverage:Customer 1st:UTR06264;15;_-new-template_-discovery-scan-with-credentials-copy;
2037;:za:PPB:Lending Products:Home Services User Interface DDA:UTR06150;15;_-new-template_-discovery-scan-with-credentials-copy;
2038;:za:PPB:Core Banking:SAP CRM 7:UTR05594;15;_-new-template_-discovery-scan-with-credentials-copy;
2039;:za:PPB:Core Banking:SAP BS - Banking Services:UTR05329;15;_-new-template_-discovery-scan-with-credentials-copy;
2040;:za:PPB:Standard Trust Limited:Chameleon:UTR06492;15;_-new-template_-discovery-scan-with-credentials-copy;
2041;:za:PPB:Credit:EDAS - Event Delivery Actioning System:UTR05281;15;_-new-template_-discovery-scan-with-credentials-copy;
2042;:za:PPB:Infrastructure Production Services:IBM MQFTE South Africa:UTR03405;15;_-new-template_-discovery-scan-with-credentials-copy;
2043;:za:PPB:Africa Regions:Finacle Moby Banker:UTR05354;15;_-new-template_-discovery-scan-with-credentials-copy;
2044;:za:PPB:Africa Regions:Finacle Mobile Banking (USSD):UTR05479;15;_-new-template_-discovery-scan-with-credentials-copy;
2045;:za:PPB:Credit:PDG - Personal Decision Gateway:UTR05981;15;_-new-template_-discovery-scan-with-credentials-copy;
2046;:za:PPB:ROA:FAS - Finacle Alert Server:UTR05461;15;_-new-template_-discovery-scan-with-credentials-copy;
2047;:za:PPB:IT Security:Venafi Trust Protection Platform:UTR06545;15;_-new-template_-discovery-scan-with-credentials-copy;
2048;:za:PPB:Core Banking:SAP FI - CAX:UTR05376;15;_-new-template_-discovery-scan-with-credentials-copy;
2049;:za:PPB:Core Banking:Partner Sync:UTR05321;15;_-new-template_-discovery-scan-with-credentials-copy;
2050;:za:PPB:Core Banking:SAP Core SLT:UTR05268;15;_-new-template_-discovery-scan-with-credentials-copy;
2051;:za:PPB:Infrastructure Production Services:Intellimatch South Africa:UTR06791;15;_-new-template_-discovery-scan-with-credentials-copy;
2052;:za:PPB:IT Security:Riskminder:UTR07105;15;_-new-template_-discovery-scan-with-credentials-copy;
2053;:za:PPB:Credit:CDDS - Credit Direct Delivery System:UTR07949;15;_-new-template_-discovery-scan-with-credentials-copy;
2054;:zm:PPB:IT Security:McAfee:UTR05389;36;authentication-test-ssh;
2055;:zm:PPB:Core Banking:Datastore DSX:UTR05375;36;authentication-test-ssh;
2056;:zm:PPB:Africa Regions:Smartpay:UTR05132;36;authentication-test-ssh;
2057;:gh:PPB:IT Security:Active Directory:UTR07119;19;authentication-test-ssh;
2058;:gh:PPB:Core Banking:Datastore DSX:UTR05375;19;authentication-test-ssh;
2059;:gh:PPB:IT Security:Websense / Forcepoint:UTR05481;19;authentication-test-ssh;
2060;:gh:PPB:Payments:Sybrin:UTR05557;19;authentication-test-ssh;
2061;:mu:PPB:IT Security:Active Directory South Africa:UTR07119;29;authentication-test-ssh;
2062;:mw:PPB:IT Security:Websense / Forcepoint:UTR05481;18;authentication-test-ssh;
2063;:mw:PPB:IT Security:Azure Application Proxy:UTR06983;18;authentication-test-ssh;
2064;:mw:PPB:Client Coverage:ATM Application:UTR01039;18;authentication-test-ssh;
2065;:mw:PPB:Core Banking:Datastore DSX:UTR05375;18;authentication-test-ssh;
2066;:mw:PPB:Africa Regions:Unicorn:UTR06704;18;authentication-test-ssh;
2067;:mw:PPB:Integration Platforms:Connect Direct Malawi:UTR06539;18;authentication-test-ssh;
2068;:mw:PPB:IT Security:EPO - McAfee Epolicy Orchestrator:UTR05390;18;authentication-test-ssh;
2069;:mw:PPB:IT Security:McAfee:UTR05389;18;authentication-test-ssh;
2070;:zm:PPB:Payments:GPOD - Generic Proof of Deposit:UTR05488;36;authentication-test-ssh;
2071;:mu:PPB:IT Security:McAfee:UTR05389;29;authentication-test-ssh;
2072;:za:PPB:IT Security:McAfee:UTR05389;15;_-new-template_-discovery-scan-with-credentials-copy;
2073;:cd:PPB:IT Security:Active Directory:UTR07119;31;authentication-test-ssh;
2074;:bw:PPB:IT Security:Active Directory:UTR07119;76;authentication-test-ssh;
2075;:bw:PPB:IT Security:Active Directory South Africa:UTR07119;76;authentication-test-ssh;
2076;:ls:PPB:IT Security:Active Directory South Africa:UTR07119;72;authentication-test-ssh;
2077;:tz:PPB:IT Security:Active Directory South Africa:UTR07119;39;authentication-test-ssh;
2078;:za:PPB:IT Security:Active Directory South Africa:UTR07119;15;_-new-template_-discovery-scan-with-credentials-copy;
2079;:ug:PPB:IT Security:Active Directory South Africa:UTR07119;77;authentication-test-ssh;
2080;:gh:PPB:IT Security:Active Directory South Africa:UTR07119;19;authentication-test-ssh;
